fire_fly_id,referrer_type_value,percentbyref
3167753,Other Web Sites,0.045307443365695796
3167753,Typed/Bookmarked,1
3167931,Typed/Bookmarked,1
3168004,Inside Your Site,0.16666666666666666
3168004,Search Engines,0.03333333333333333
3168004,Typed/Bookmarked,0.9666666666666667
3168240,Inside Your Site,1
3168240,Typed/Bookmarked,0.75
3168247,Typed/Bookmarked,1
3168292,Typed/Bookmarked,1
3168340,Inside Your Site,0.6666666666666666
3168340,Search Engines,0.047619047619047616
3168340,Typed/Bookmarked,1
3168407,Inside Your Site,1
3168471,Inside Your Site,0.0880503144654088
3168471,Other Web Sites,0.006289308176100629
3168471,Search Engines,0.06918238993710692
3168471,Social Networks,0.12578616352201258
3168471,Typed/Bookmarked,0.8930817610062893
3168601,Inside Your Site,0.18181818181818182
3168601,Search Engines,0.09090909090909091
3168601,Typed/Bookmarked,0.9090909090909091
3168661,Inside Your Site,0.75
